step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
126,633048,504,0.016366420678152874,0.0,0.6666666666666666,,,
127,636796,508,0.02457085169365065,0.25,0.8243243243243243,,,
128,639904,512,0.03020921544372061,0.25,0.84,,,
129,645476,516,0.02198616316144614,0.25,0.8611111111111112,0.029864293969439706,0.5,0.8235294117647058
130,648328,520,0.025807116681121046,0.0,0.8181818181818182,,,
131,652332,524,0.027090506395103946,0.0,0.6590909090909091,,,
132,655792,528,0.02373485213734973,0.0,0.8571428571428571,,,
133,657460,532,0.04494230927574038,0.0,0.896551724137931,,,
134,660952,536,0.026035514291599633,0.0,0.9333333333333333,,,
135,665148,540,0.01818250726277242,0.25,0.7,,,
136,672928,544,0.015918386970499056,0.25,0.8769230769230769,,,
137,675588,548,0.031043001471325816,0.0,0.9230769230769231,0.0257689238525929,0.0,0.8758169934640523
138,678728,552,0.03068841915593343,0.0,0.8873239436619719,,,
139,680524,556,0.03758903100638968,0.0,0.7586206896551724,,,
140,687152,560,0.016110357573815955,0.0,0.8548387096774194,,,
141,691828,564,0.02499739175452856,0.0,0.8651685393258427,,,
142,699736,568,0.025093609706876577,0.0,0.7096774193548387,,,
143,705788,572,0.02737122268939628,0.0,0.7241379310344828,,,
144,709792,576,0.045391819756661234,0.0,0.8877005347593583,,,
145,717444,580,0.013530957584811537,0.0,0.9586206896551724,0.03109534433510143,0.0,0.8532110091743119
146,718856,584,0.03822809117982408,0.25,0.8867924528301887,,,
147,724076,588,0.029302875549735225,0.0,0.8426966292134831,,,
148,731792,592,0.021777859838194875,0.0,0.8990825688073395,,,
149,734036,596,0.03230021451806991,0.0,0.8333333333333334,,,
150,737560,600,0.034933152123728245,0.0,0.8775510204081632,,,
151,745372,604,0.018347935738520952,0.0,0.8125,,,
152,749824,608,0.02766717125453619,0.0,0.8245614035087719,,,
153,755652,612,0.019384005827450694,0.25,0.9206349206349206,0.017568023486322425,0.0,0.9488636363636364
154,763208,616,0.01888393851722058,0.0,0.8839285714285714,,,
155,766956,620,0.02899535638029722,0.0,0.7962962962962963,,,
156,769296,624,0.039968440895394704,0.0,0.8125,,,
157,774932,628,0.0189141155494363,0.0,0.9166666666666666,,,
158,779320,632,0.021056046838360296,0.0,0.6,,,
159,787132,636,0.02344611634707375,0.0,0.8924731182795699,,,
160,793088,640,0.02478364249154551,0.0,0.8153846153846154,,,
161,798596,644,0.023516226706753064,0.0,0.8028169014084507,0.02806021182657754,0.0,0.8181818181818182
162,806376,648,0.02436785930483524,0.0,0.875,,,
163,814124,652,0.02112527010601856,0.0,0.6071428571428571,,,
164,816880,656,0.03689614329028662,0.0,0.9310344827586207,,,
165,822068,660,0.022391585687416986,0.25,0.8709677419354839,,,
166,828248,664,0.01695913467411017,0.0,0.8895705521472392,,,
167,831452,668,0.020180548134304855,0.25,0.8275862068965517,,,
168,838912,672,0.01756103283530806,0.0,0.5294117647058824,,,
169,840964,676,0.03420573801936948,0.25,0.782608695652174,0.037242490244756545,0.0,0.810126582278481
170,842984,680,0.03066822681514462,0.25,0.8333333333333334,,,
171,850700,684,0.011602583998800691,0.25,0.775,,,
172,858416,688,0.02682488557519033,0.0,0.8974358974358975,,,
173,864756,692,0.01906324364878316,0.25,0.9090909090909091,,,
174,872568,696,0.012294231403513262,0.25,0.9090909090909091,,,
175,878428,700,0.01810779946478841,0.25,0.9313725490196079,,,
176,881344,704,0.027806174573671058,0.0,0.68,,,
177,889060,708,0.022759394972051084,0.0,0.7384615384615385,0.01579844022196228,0.25,0.9325153374233128
178,892136,712,0.031235359205592294,0.0,0.8780487804878049,,,
179,894028,716,0.03818640335341643,0.0,0.7142857142857143,,,
180,900272,720,0.020122214862954353,0.0,0.8709677419354839,,,
181,906036,724,0.0179776498498283,0.25,0.75,,,
182,909048,728,0.021022928369553783,0.25,0.9166666666666666,,,
183,912220,732,0.02417801613964081,0.25,0.8205128205128205,,,
184,914976,736,0.03414191709818263,0.25,0.7083333333333334,,,
185,917508,740,0.02858417853493904,0.25,0.8108108108108109,0.01405723094156927,0.25,0.9363636363636364
186,925320,744,0.018475506588580444,0.0,0.8301886792452831,,,
187,926828,748,0.03688684507326814,0.0,0.8717948717948718,,,
188,930768,752,0.028670165201833846,0.0,0.7818181818181819,,,
