step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
95,452572,380,0.037491846064364266,0.0,0.8969072164948454,,,
96,460416,384,0.021076881915671863,0.0,0.9066666666666666,,,
97,467044,388,0.025587277365402547,0.25,0.660377358490566,0.025116110072114853,0.25,0.9104477611940298
98,469480,392,0.03721552931028197,0.0,0.8787878787878788,,,
99,476940,396,0.014954744345074917,0.25,0.631578947368421,,,
100,479824,400,0.026005958262777438,0.0,0.863013698630137,,,
101,483860,404,0.02566276834176008,0.0,0.825,,,
102,488408,408,0.024687403734238618,0.0,0.8295454545454546,,,
103,494620,412,0.026626866665918014,0.0,0.7674418604651163,,,
104,499008,416,0.020041615897178712,0.25,0.8888888888888888,,,
105,501668,420,0.03943256874127461,0.0,0.9173553719008265,0.02166075343750114,0.0,0.8088235294117647
106,504200,424,0.030311688725533872,0.25,0.8823529411764706,,,
107,508140,428,0.016457843302158805,0.25,0.8571428571428571,,,
108,512592,432,0.02978165530332817,0.0,0.8428571428571429,,,
109,518484,436,0.023413005143365327,0.25,0.9247311827956989,,,
110,526328,440,0.016719256214433143,0.0,0.8846153846153846,,,
111,529788,444,0.029003018285434924,0.0,0.84375,,,
112,535680,448,0.018960423126592973,0.0,0.7954545454545454,,,
113,543492,452,0.02248602012424767,0.0,0.8484848484848485,0.02610267528062133,0.0,0.7674418604651163
114,551368,456,0.019951443154385014,0.0,0.9546925566343042,,,
115,553932,460,0.039089265292621744,0.0,0.7432432432432432,,,
116,557616,464,0.026563488934869563,0.0,0.7692307692307693,,,
117,563892,468,0.028774037801640194,0.0,0.9051094890510949,,,
118,569400,472,0.035893610944454486,0.0,0.8333333333333334,,,
119,577116,476,0.016212828235283267,0.25,0.75,,,
120,579904,480,0.03104436838203392,0.25,0.813953488372093,,,
121,582660,484,0.027107848588318655,0.0,0.8701298701298701,0.024387499918765522,0.0,0.9612403100775194
